Make,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Model
Chrysler,85557.0,78243.0,53947.0,7345.0,1955.0,0.0,0.0,0.0,0,0.0,0.0,62366.0,118274.0,118322.0,97706.0,84113.0,74970.0,Pacifica
Chrysler,133740.0,138650.0,99585.0,50910.0,17941.0,9440.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT Cruiser
Chrysler,90294.0,69357.0,93130.0,71663.0,27460.0,38330.0,2380.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sebring
Chrysler,180759.0,159105.0,138151.0,118563.0,84558.0,112275.0,94320.0,111744.0,122288,138040.0,97530.0,59071.0,577.0,0.0,0.0,9690.0,23355.0,Town & Country
Dodge,0.0,7656.0,28788.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aspen
Dodge,0.0,0.0,83804.0,61963.0,38922.0,50923.0,64023.0,96890.0,93842,51705.0,1326.0,45.0,14.0,0.0,0.0,0.0,0.0,Avenger
Dodge,0.0,92224.0,101079.0,84158.0,36098.0,45082.0,35049.0,10176.0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Caliber
Dodge,226771.0,211140.0,176150.0,123749.0,90666.0,103323.0,110862.0,141468.0,124019,134152.0,101553.0,127678.0,125196.0,151927.0,122648.0,38765.0,3037.0,Caravan/Grand Caravan
Dodge,0.0,0.0,0.0,17423.0,25852.0,36791.0,39543.0,43119.0,51462,51611.0,66377.0,64433.0,64537.0,66716.0,60997.0,52955.0,54315.0,Challenger
Dodge,44804.0,114201.0,119289.0,97367.0,60651.0,75397.0,70089.0,82592.0,98336,94099.0,96633.0,95437.0,88351.0,80226.0,96936.0,77426.0,78388.0,Charger
Dodge,104051.0,76098.0,50702.0,26044.0,10690.0,13047.0,12156.0,490.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dakota
Dodge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25303.0,83388,83858.0,87908.0,43402.0,10082.0,389.0,16.0,5.0,10.0,Dart
Dodge,115439.0,70606.0,45503.0,21420.0,3521.0,572.0,51697.0,42589.0,60727,64398.0,64723.0,68474.0,68761.0,65947.0,67598.0,57828.0,65936.0,Durango
Dodge,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Intrepid
Dodge,0.0,0.0,0.0,47097.0,53826.0,48577.0,55155.0,79563.0,83933,93572.0,108085.0,106759.0,89470.0,94096.0,74687.0,40341.0,14034.0,Journey
Dodge,52487.0,40095.0,30256.0,6912.0,113.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Magnum
Dodge,113332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neon
Dodge,0.0,16990.0,74825.0,36368.0,17443.0,22618.0,24434.0,3269.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nitro
Dodge,400543.0,364177.0,358295.0,245840.0,177268.0,199652.0,244762.0,293363.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ram
